StartDate  ; EndDate    ; Transport
2021-12-01 ; 2022-02-28 ; 0.2302
2022-03-01 ; 2022-05-31 ; 0.2225
2022-06-01 ; 2022-11-30 ; 0.2377
2022-12-01 ; 2023-01-31 ; 0.3579
